"","Height","Mu","Sigma","Lambda","Sex"
"122",46.21,3.41892287904573,0.207638966057675,0.30080954912559,"Male"
"123",46.22,3.42023999436258,0.207647132416026,0.300949296286698,"Male"
"124",46.23,3.42155789463735,0.207655272316502,0.301089072882176,"Male"
"125",46.24,3.42287658056143,0.207663385720398,0.301228878913801,"Male"
"126",46.25,3.42419605282661,0.207671472588986,0.301368714383365,"Male"
"127",46.26,3.42551631212529,0.207679532883523,0.301508579292647,"Male"
"128",46.27,3.42683735915037,0.20768756656524,0.30164847364343,"Male"
"129",46.28,3.42815919459524,0.207695573595351,0.3017883974375,"Male"
"130",46.29,3.42948181915372,0.20770355393505,0.301928350676653,"Male"
"131",46.3,3.4308052335203,0.20771150754551,0.302068333362671,"Male"
"132",46.31,3.43212943838982,0.207719434387883,0.302208345497351,"Male"
"133",46.32,3.43345443445773,0.207727334423302,0.302348387082481,"Male"
"134",46.33,3.43478022241996,0.207735207612881,0.302488458119857,"Male"
"135",46.34,3.43610680297288,0.207743053917711,0.302628558611282,"Male"
"136",46.35,3.43743417681348,0.207750873298866,0.302768688558548,"Male"
"137",46.36,3.43876234463915,0.207758665717398,0.302908847963459,"Male"
"138",46.37,3.44009130714787,0.20776643113434,0.303049036827816,"Male"
"139",46.38,3.44142106503813,0.207774169510706,0.303189255153418,"Male"
"140",46.39,3.44275161900888,0.207781880807489,0.303329502942069,"Male"
"141",46.4,3.44408296975961,0.207789564985661,0.303469780195578,"Male"
"142",46.41,3.44541511799027,0.207797222006177,0.303610086915755,"Male"
"143",46.42,3.44674806440136,0.207804851829969,0.303750423104411,"Male"
"144",46.43,3.4480818096939,0.207812454417953,0.303890788763353,"Male"
"145",46.44,3.44941635456946,0.207820029731023,0.304031183894389,"Male"
"146",46.45,3.45075169972997,0.207827577730053,0.304171608499346,"Male"
"147",46.46,3.45208784587803,0.207835098375899,0.304312062580031,"Male"
"148",46.47,3.45342479371667,0.207842591629397,0.304452546138263,"Male"
"149",46.48,3.45476254394947,0.207850057451361,0.304593059175861,"Male"
"150",46.49,3.45610109728049,0.20785749580259,0.304733601694646,"Male"
"151",46.5,3.45744045441432,0.20786490664386,0.304874173696436,"Male"
"152",46.51,3.45878061605598,0.207872289935928,0.30501477518307,"Male"
"153",46.52,3.46012158291117,0.207879645639534,0.305155406156358,"Male"
"154",46.53,3.46146335568595,0.207886973715395,0.305296066618133,"Male"
"155",46.54,3.46280593508692,0.207894274124211,0.30543675657023,"Male"
"156",46.55,3.46414932182129,0.207901546826664,0.305577476014469,"Male"
"157",46.56,3.46549351659666,0.207908791783413,0.30571822495269,"Male"
"158",46.57,3.46683852012124,0.2079160089551,0.305859003386719,"Male"
"159",46.58,3.46818433310371,0.20792319830235,0.305999811318393,"Male"
"160",46.59,3.46953095625318,0.207930359785763,0.306140648749559,"Male"
"161",46.6,3.47087839027937,0.207937493365926,0.306281515682052,"Male"
"162",46.61,3.47222663589255,0.207944599003403,0.306422412117704,"Male"
"163",46.62,3.47357569380347,0.207951676658742,0.306563338058359,"Male"
"164",46.63,3.47492556472328,0.207958726292468,0.306704293505868,"Male"
"165",46.64,3.47627624936379,0.207965747865091,0.306845278462072,"Male"
"166",46.65,3.47762774843727,0.207972741337099,0.306986292928817,"Male"
"167",46.66,3.47898006265649,0.207979706668964,0.307127336907952,"Male"
"168",46.67,3.48033319273473,0.207986643821136,0.307268410401332,"Male"
"169",46.68,3.4816871393859,0.20799355275405,0.307409513410795,"Male"
"170",46.69,3.48304190332421,0.208000433428118,0.30755064593821,"Male"
"171",46.7,3.48439748526457,0.208007285803737,0.307691807985424,"Male"
"172",46.71,3.48575388592229,0.208014109841283,0.307832999554298,"Male"
"173",46.72,3.48711110601333,0.208020905501113,0.307974220646682,"Male"
"174",46.73,3.488469146254,0.208027672743568,0.308115471264444,"Male"
"175",46.74,3.48982800736126,0.208034411528968,0.308256751409441,"Male"
"176",46.75,3.49118769005252,0.208041121817616,0.308398061083536,"Male"
"177",46.76,3.49254819504572,0.208047803569794,0.308539400288596,"Male"
"178",46.77,3.49390952305927,0.208054456745769,0.308680769026489,"Male"
"179",46.78,3.49527167481217,0.208061081305787,0.308822167299084,"Male"
"180",46.79,3.49663465102394,0.208067677210076,0.308963595108244,"Male"
"181",46.8,3.49799845241456,0.208074244418848,0.309105052455845,"Male"
"182",46.81,3.4993630797046,0.208080782892293,0.309246539343754,"Male"
"183",46.82,3.50072853361501,0.208087292590584,0.309388055773857,"Male"
