"","Height","0.02","0.05","0.25","0.5","0.75","0.95","0.98"
"106",55.5,3.22139964246702,3.55123265264037,4.40630622662177,5.06165406479458,5.76793777837885,6.87491055353401,7.37393279965443
"107",55.6,3.23721838910326,3.56835903623069,4.42651611491323,5.08395860041104,5.79226791172097,6.90198419751065,7.40208711249451
"108",55.7,3.2531282219589,3.58557560205828,4.44681012935523,5.1063397901006,5.81666457313644,6.92910525826499,7.43027923510994
"109",55.8,3.26912859761224,3.60288168943768,4.46718732512051,5.12879649394739,5.84112643591535,6.95627216500453,7.45850750546269
"110",55.9,3.28521895685984,3.62027662200331,4.48764674299554,5.15132755941521,5.86565216317744,6.98348334140881,7.48677025830527
"111",56,3.30139872449051,3.63775970751775,4.50818740927352,5.17393182129836,5.89024040787645,7.01073720569848,7.51506582527141
"112",56.1,3.3176673090604,3.6553302376815,4.52880833564923,5.19660810167394,5.91488981280526,7.03803217070379,7.54339253496549
"113",56.2,3.3340241026679,3.67298748794262,4.54950851911338,5.21935520985291,5.93959901059888,7.06536664392881,7.57174871304669
"114",56.3,3.35046848072904,3.69073071730709,4.57028694184756,5.2421719423314,5.96436662373667,7.09273902761326,7.60013268230979
"115",56.4,3.36699980175398,3.70855916815051,4.59114257112057,5.26505708274281,5.9891912645447,7.12014771879279,7.6285427627638
"116",56.5,3.38361740712323,3.72647206602956,4.61207435918399,5.28800940180837,6.01407153519535,7.14759110935436,7.65697727170438
"117",56.6,3.40032062086509,3.74446861949487,4.63308124316916,5.31102765728869,6.03900602770724,7.17506758609036,7.68543452378438
"118",56.7,3.41710874943382,3.7625480199048,4.65416214498473,5.33411059393516,6.06399332394375,7.20257553074957,7.71391283108025
"119",56.8,3.43398108148834,3.78070944123979,4.67531597121436,5.35725694344085,6.0890319956104,7.23011332008475,7.74241050315415
"120",56.9,3.4509368876719,3.79895203991776,4.69654161301524,5.38046542439151,6.11412060425098,7.25767932589747,7.77092584711238
"121",57,3.46797542039315,3.81727495461112,4.7178379460179,5.40373474221729,6.13925770124381,7.28527191508122,7.79945716766125
"122",57.1,3.48509591360733,3.83567730606379,4.73920383022531,5.4270635891428,6.16444182779485,7.31288944965909,7.82800276715657
"123",57.2,3.50229758259929,3.85415819691018,4.76063810991383,5.45045064413851,6.1896715149315,7.34053028682067,7.85656094565143
"124",57.3,3.51957962376766,3.87271671149545,4.78213961353477,5.47389457287188,6.21494528349497,7.36819277895554,7.88513000093985
"125",57.4,3.53694121440963,3.89135191569617,4.80370715361579,5.49739402765752,6.24026164413046,7.39587527368249,7.913708228595
"126",57.5,3.55438151250769,3.91006285674316,4.82533952666404,5.52094764740839,6.26561909727756,7.42357611387722,7.94229392200521
"127",57.6,3.57189965651756,3.9288485630454,4.84703551306967,5.54455405758649,6.29101613315892,7.45129363769651,7.97088537240554
"128",57.7,3.58949476515736,3.94770804401512,4.86879387700997,5.56821187015337,6.31645123176761,7.47902617859895,7.999480868905
