"","Height","0.02","0.05","0.25","0.5","0.75","0.95","0.98"
"61",51,2.73861128033215,2.98603435638093,3.65982339681829,4.20965423330752,4.83639287064241,5.8932879844471,6.40061931690758
"62",51.1,2.75067919085068,2.99939870788263,3.67626768053797,4.228128123055,4.85666543127269,5.91540889098895,6.42312504309323
"63",51.2,2.76275813493019,3.01279316426566,3.6927758058276,4.24667484323415,4.87700270894793,5.93754227635964,6.4456032966092
"64",51.3,2.77484788401353,3.02621753219166,3.70934746900172,4.26529393377891,4.89740417717037,5.9596881825644,6.46805483234737
"65",51.4,2.78694821275302,3.03967162055274,3.72598236269849,4.28398492792169,4.9178693054294,5.98184666997634,6.4904804412041
"66",51.5,2.79905889962539,3.05315524086265,3.74268017590543,4.30274735216489,4.93839755916272,6.0040178164733,6.51288094804246
"67",51.6,2.81117972755982,3.06666820765453,3.75944059398483,4.32158072625199,4.9589883997157,6.02620171656911,6.53525720965807
"68",51.7,2.8233104845796,3.0802103388857,3.77626329869912,4.34048456313866,4.97964128429957,6.04839848054152,6.55761011275335
"69",51.8,2.83545096445805,3.09378145634964,3.79314796823644,4.359458368964,5.00035566594852,6.07060823355891,6.57994057192425
"70",51.9,2.84760096738861,3.107381386095,3.81009427723574,4.37850164302144,5.02113099347532,6.09283111480625,6.60224952766245
"71",52,2.85976030067011,3.12100995885221,3.82710189681218,4.39761387773002,5.04196671142623,6.11506727661319,6.62453794437795
"72",52.1,2.87192877940708,3.13466701046714,3.84417049458205,4.41679455860518,5.06286226003427,6.13731688358431,6.64680680844381
"73",52.2,2.88410622722586,3.14835238234256,3.86129973468766,4.43604316422981,5.08381707517185,6.15958011173407,6.66905712626773
"74",52.3,2.89629247700663,3.16206592188694,3.87848927782209,4.45535916622527,5.10483058830224,6.18185714762739,6.69128992239264
"75",52.4,2.90848737163182,3.17580748297093,3.89573878125353,4.47474202922217,5.12590222642998,6.20414818752681,6.71350623762914
"76",52.5,2.92069076475115,3.18957692639137,3.91304789884941,4.49419121083132,5.14703141205044,6.22645343654809,6.73570712722275
"77",52.6,2.93290252156375,3.20337412034314,3.93041628110034,4.51370616161461,5.16821756309856,6.24877310782505,6.75789365905826
"78",52.7,2.94512251961735,3.21719894089825,3.9478435751433,4.53328632505561,5.18946009289638,6.27110742168437,6.7800669119027
"79",52.8,2.95735064962513,3.2310512724929,3.96532942478473,4.55293113753036,5.21075841009997,6.29345660483217,6.8022279736901
"80",52.9,2.96958681630036,3.24493100842198,3.98287347052319,4.57264002827817,5.23211191864581,6.31582088955313,6.82437793984933
"81",53,2.98183093920898,3.25883805134119,4.00047534957153,4.59241241937246,5.25352001769635,6.33820051292295,6.84651791167672
"82",53.1,2.99408295364016,3.2727723137763,4.01813469587814,4.61224772569112,5.27498210158443,6.3605957160342,6.8686489947541
"83",53.2,3.00634281149533,3.28673371863999,4.03585114014793,4.63214535488711,5.29649755975739,6.38300674323782,6.89077229741485
"84",53.3,3.01861048219553,3.30072219975579,4.05362430986268,4.6521047073592,5.31806577672071,6.40543384140021,6.91288892925859
"85",53.4,3.03088595360727,3.31473770238912,4.07145382930058,4.6721251762224,5.3396861319809,6.42787725917654,6.93499999971511
"86",53.5,3.04316923298687,3.32878018378519,4.08933931955509,4.69220614727867,5.36135799998802,6.45033724630129,6.95710661665887
"87",53.6,3.05546034794313,3.34284961371329,4.1072803985527,4.71234699898694,5.38308075007717,6.47281405289541,6.97920988507352
"88",53.7,3.06775934741867,3.35694597501785,4.12527668107019,4.73254710243384,5.40485374641025,6.49530792879261,7.00131090576887
"89",53.8,3.08006630268947,3.37106926417549,4.14332777875094,4.75280582130422,5.42667634791716,6.51781912288375,7.0234107741493
"90",53.9,3.09238130838242,3.38521949185775,4.16143330011982,4.77312251185119,5.4485479082361,6.5403478824795,7.04551057903345
"91",54,3.1047044835108,3.39939668349933,4.17959285059722,4.79349652286631,5.47046777565378,6.56289445269243,7.06761140152618
"92",54.1,3.11703597252775,3.41360087987184,4.19780603251256,4.81392719565056,5.49243529304632,6.58545907583979,7.0897143139438
"93",54.2,3.12937594639633,3.42783213766153,4.2160724451154,4.83441386398379,5.51444979781798,6.60804199086365,7.11182037878862
"94",54.3,3.14172460367701,3.44209053005186,4.23439168458636,4.85495585409546,5.53651062184148,6.63064343277324,7.13393064777748
"95",54.4,3.15408217163096,3.45637614730932,4.25276334404587,4.87555248463427,5.55861709139667,6.6532636321055,7.15604616091953
"96",54.5,3.16644890733959,3.47068909737293,4.27118701356238,4.89620306663895,5.58076852711054,6.6759028144076,7.17816794564676
"97",54.6,3.17882509883865,3.48502950644581,4.28966228015814,4.91690690350784,5.60296424389572,6.69856119973812,7.20029701599298
"98",54.7,3.19121106626692,3.49939751958908,4.30818872781414,4.93766329096921,5.62520355088983,6.72123900218962,7.22243437182366
"99",54.8,3.20360716302813,3.51379330131686,4.32676593747292,4.95847151705119,5.64748575139429,6.74393642943088,7.24458099811424
"100",54.9,3.21601377696537,3.52821703619165,4.34539348703974,4.97933086205153,5.66981014281304,6.76665368226937,7.26673786427646
"101",55,3.22843133154705,3.54266892941996,4.36407095138247,5.00024059850823,5.6921760165923,6.78939095423518,7.28890592353366
"102",55.1,3.24086028706254,3.55714920744598,4.38279790232832,5.02119999116846,5.71458265815838,6.8121484311826,7.31108611234004
"103",55.2,3.25330114182725,3.57165811854405,4.40157390866004,5.04220829695922,5.73702934685771,6.8349262909144,7.33327934984863
